username,post_id,shortcode,is_video,type_name,comments,likes,time_posting_date
doughzoneusa,3.52E+18,C_z9_R1pXyA,FALSE,GraphImage,24,542,12/19/2025 10:00
doughzoneusa,3.51E+18,D_a1_S2qYzB,TRUE,GraphImage,88,1850,12/18/2025 5:00
doughzoneusa,3.50E+18,E_b2_T3rZzC,FALSE,GraphImage,41,720,12/16/2025 8:00
doughzoneusa,3.49E+18,F_c3_U4sAaD,FALSE,GraphImage,15,410,12/14/2025 12:00
doughzoneusa,3.48E+18,G_d4_V5tBbE,TRUE,GraphImage,112,2400,12/12/2025 12:00
doughzoneusa,3.47E+18,H_e5_W6uCcF,FALSE,GraphImage,32,615,12/10/2025 12:00
doughzoneusa,3.46E+18,I_f6_X7vDdG,FALSE,GraphImage,19,390,12/08/2025 12:00
doughzoneusa,3.45E+18,J_g7_Y8wEeH,TRUE,GraphImage,145,3100,12/06/2025 12:00
doughzoneusa,3.44E+18,K_h8_Z9xFfI,FALSE,GraphImage,8,280,12/04/2025 12:00
doughzoneusa,3.43E+18,L_i9_A0yGgJ,FALSE,GraphImage,55,940,12/02/2025 12:00
doughzoneusa,3.42E+18,M_j0_B1zHhK,FALSE,GraphImage,12,425,11/30/2025 12:00
doughzoneusa,3.41E+18,N_k1_C2aIiL,TRUE,GraphImage,210,4200,11/28/2025 12:00
doughzoneusa,3.40E+18,O_l2_D3bJjM,FALSE,GraphImage,48,810,11/26/2025 12:00
doughzoneusa,3.39E+18,P_m3_E4cKkN,FALSE,GraphImage,22,510,11/24/2025 12:00
doughzoneusa,3.38E+18,Q_n4_F5dLlO,TRUE,GraphImage,95,1950,11/22/2025 12:00
